Alpha,Cl
0.25,0.75
-3.006,-0.2895
-2.012,-0.1914
-0.998,-0.093
0.0,0.0027
1.004,0.1004
2.008,0.1987
3.012,0.2974
3.514,0.3463
4.011,0.3935
4.011,0.3948
4.513,0.4401
5.02,0.4789
5.522,0.5141
6.023,0.5524
6.525,0.5913
6.525,0.5916
7.027,0.6327
7.534,0.6672
7.534,0.6688
8.03,0.7068
8.532,0.7471
8.532,0.7483
9.034,0.7908
9.536,0.8257
10.037,0.8537
10.539,0.8773
11.04,0.8974
11.536,0.9111
12.041,0.9207
12.537,0.9282
12.537,0.9292
13.042,0.9354
14.041,0.9435
15.034,0.9391
15.537,0.923
16.018,0.6829
16.011,0.5654
16.506,0.5399
17.006,0.4896
17.516,0.4895
18.016,0.4938
17.511,0.4884
17.011,0.5073
16.511,0.5846
16.011,0.619
15.512,0.6439
15.012,0.6394
14.522,0.6992
14.028,0.7966
13.531,0.8984
13.042,0.9323
13.042,0.9334
