  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 16:43:56	  -4.005	   0.000	  993.83	   17.52	     6.1	    23.7	    42.0	    52.5	   -14.5	   -13.5
       0	 16:44:21	  -3.005	   0.000	  993.84	   17.48	     7.6	    23.5	    43.1	    51.9	   -15.6	   -12.8
       0	 16:44:40	  -2.000	   0.000	  993.82	   17.46	     8.9	    25.0	    44.5	    51.0	   -16.5	   -11.9
       0	 16:44:58	  -0.802	   0.000	  993.80	   17.43	     6.3	    27.2	    44.1	    51.1	   -17.0	   -21.9
       0	 16:45:10	   0.138	   0.000	  993.85	   17.41	     7.8	    27.4	    44.4	    50.9	   -17.3	   -23.1
       0	 16:45:22	   1.179	   0.000	  993.84	   17.39	     4.8	    28.8	    44.7	    50.3	   -16.8	   -21.3
       0	 16:45:34	   2.233	   0.000	  993.83	   17.38	     5.7	    29.8	    45.0	    49.8	   -16.8	   -22.8
       0	 16:45:46	   3.276	   0.000	  993.85	   17.34	    -3.5	    35.5	    44.8	    49.0	   -16.1	   -23.0
       0	 16:45:57	   3.995	   0.000	  993.84	   17.32	    -6.1	    29.5	    44.0	    48.6	   -16.0	   -12.5
       0	 16:46:13	   5.000	   0.000	  993.84	   17.30	     2.2	    26.5	    46.3	    48.6	   -17.1	   -11.1
       0	 16:46:31	   6.000	   0.000	  993.84	   17.28	     9.1	    23.9	    47.5	    48.5	   -18.2	    -9.4
       0	 16:46:47	   7.000	   0.000	  993.81	   17.24	    10.1	    24.3	    47.8	    47.4	   -19.1	    -7.9
       0	 16:47:04	   8.005	   0.000	  993.82	   17.22	     8.3	    20.3	    48.5	    47.6	   -20.2	    -7.1
       0	 16:47:17	   9.000	   0.000	  993.82	   17.19	     8.0	    19.1	    48.6	    47.6	   -20.7	    -6.4
       0	 16:47:36	   9.995	   0.000	  993.81	   17.16	     7.1	    19.0	    48.8	    47.2	   -21.1	    -5.5
       0	 16:47:53	  10.995	   0.000	  993.79	   17.12	     7.0	    16.2	    49.5	    47.4	   -22.0	    -4.4
       0	 16:48:08	  12.000	   0.000	  993.81	   17.10	     9.1	    14.5	    50.1	    47.0	   -22.6	    -3.1
       0	 16:48:25	  13.000	   0.000	  993.79	   17.08	     8.5	    12.1	    50.4	    47.0	   -23.0	    -2.7
       0	 16:48:43	  14.005	   0.000	  993.80	   17.04	     8.0	    12.1	    51.0	    47.5	   -24.0	    -2.0
       0	 16:49:00	  14.995	   0.000	  993.83	   17.02	     5.7	     9.7	    50.5	    46.5	   -23.0	    -2.5
       0	 16:49:15	  16.000	   0.000	  993.80	   16.99	     4.5	     8.4	    50.5	    46.5	   -23.2	    -2.6
       0	 16:49:33	  16.995	   0.000	  993.84	   16.96	     5.6	     9.6	    51.0	    46.3	   -23.1	    -2.0
       0	 16:49:48	  17.995	   0.000	  993.84	   16.93	     3.0	     5.9	    51.2	    46.3	   -23.3	    -1.9
       0	 16:50:05	  19.000	   0.000	  993.83	   16.90	    -0.6	     4.7	    52.0	    46.5	   -23.4	    -2.1
       0	 16:50:27	  20.000	   0.000	  993.87	   16.88	    -2.6	     3.3	    50.5	    46.5	   -22.6	    -2.8
       0	 16:50:49	  21.005	   0.000	  993.85	   16.84	    -5.5	     0.9	    51.0	    46.0	   -23.2	    -2.5
       0	 16:51:16	  22.005	   0.000	  993.87	   16.78	    -5.9	    -1.7	    51.5	    46.4	   -23.5	    -1.4
