Alpha,CD
0.25,1.0
-3.0,0.018437
-2.0,0.016642
-1.005,0.015541
0.0,0.015183
1.0,0.01548
2.0,0.016242
3.0,0.017488
3.5,0.01849
3.995,0.019735
4.495,0.02104
5.0,0.022731
5.495,0.02462
6.0,0.026623
6.495,0.02874
6.995,0.030916
7.5,0.033085
8.001,0.035464
8.5,0.037967
9.0,0.040539
9.5,0.043564
10.005,0.046638
10.5,0.049694
11.0,0.052848
11.5,0.055983
12.005,0.059596
12.495,0.063473
13.005,0.068064
13.495,0.073143
14.005,0.07834
14.995,0.090357
16.005,0.107794
16.505,0.215229
16.995,0.228077
16.495,0.123272
17.005,0.204102
17.495,0.237344
18.005,0.238813
18.5,0.241924
19.0,0.247679
18.505,0.249581
18.005,0.236888
17.5,0.232331
17.0,0.222528
16.49,0.212147
15.995,0.180916
15.505,0.169663
14.995,0.158205
14.51,0.144389
14.0,0.101742
13.49,0.072751
