Alpha,CL
0.25,0.75
-3.0,-0.2195
-2.0,-0.145
-1.005,-0.0697
0.0,0.0054
1.0,0.0803
2.0,0.1554
3.0,0.2306
3.5,0.2677
3.995,0.3043
4.495,0.341
5.0,0.3765
5.495,0.4078
6.0,0.4368
6.495,0.4666
6.995,0.4976
7.5,0.5294
8.001,0.5607
8.5,0.5916
9.0,0.6221
9.5,0.654
10.005,0.6866
10.5,0.7152
11.0,0.7405
11.5,0.7632
12.005,0.7835
12.495,0.8012
13.005,0.8178
13.495,0.8333
14.005,0.8472
14.995,0.8684
16.005,0.8764
16.505,0.6599
16.995,0.6361
16.495,0.8635
17.005,0.6553
17.495,0.569
18.005,0.5667
18.5,0.5311
19.0,0.5388
18.505,0.5852
18.005,0.5396
17.5,0.5769
17.0,0.6156
16.49,0.6545
15.995,0.6891
15.505,0.7172
14.995,0.7265
14.51,0.7555
14.0,0.8279
13.49,0.8331
